"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-28","2021","02","28","","4.8","","-5.1","","-0.2","","18.2","","0.0","","0.6","","0.0","T","0.6","","40","","15","","58",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-01","2021","03","01","","5.1","","-15.2","","-5.1","","23.1","","0.0","","5.2","","0.0","","5.2","","36","","31","","74",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-02","2021","03","02","","-7.6","","-17.9","","-12.8","","30.8","","0.0","","0.0","","1.0","","1.0","","35","","24","","63",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-03","2021","03","03","","0.3","","-8.0","","-3.9","","21.9","","0.0","","0.0","","1.2","","1.2","","34","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-04","2021","03","04","","-3.4","","-9.4","","-6.4","","24.4","","0.0","","0.0","","0.0","T","0.0","T","33","","28","","55",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-05","2021","03","05","","-7.6","","-12.4","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","33","","26","","52",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-06","2021","03","06","","-5.7","","-11.7","","-8.7","","26.7","","0.0","","0.0","","0.0","","0.0","","","","27","","46",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-07","2021","03","07","","-4.7","","-10.3","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","32","","23","","33",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-08","2021","03","08","","-2.5","","-14.7","","-8.6","","26.6","","0.0","","0.0","","0.0","T","0.0","T","31","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-09","2021","03","09","","4.9","","-4.9","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","31","","29","","41",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-10","2021","03","10","","8.5","","-5.6","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","23","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-11","2021","03","11","","11.8","","4.3","","8.1","","9.9","","0.0","","2.2","","0.0","","2.2","","20","","24","","65",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-12","2021","03","12","","6.3","","-4.8","","0.8","","17.2","","0.0","","0.0","","0.0","T","0.0","T","7","","25","","74",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-13","2021","03","13","","-1.6","","-7.9","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","T","4","","29","","50",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-14","2021","03","14","","-1.4","","-12.1","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","4","","29","","61",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-15","2021","03","15","","-6.4","","-15.6","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","","","32","","42",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-16","2021","03","16","","0.7","","-10.9","","-5.1","","23.1","","0.0","","0.0","","0.0","","0.0","","4","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-17","2021","03","17","","7.3","","-6.2","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","4","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-18","2021","03","18","","6.6","","-7.0","","-0.2","","18.2","","0.0","","0.2","","0.0","","0.2","","2","","2","","51",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-19","2021","03","19","","-0.3","","-9.3","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","0","T","1","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-20","2021","03","20","","9.3","","-2.6","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","0","T","23","","40",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-21","2021","03","21","","14.1","","-0.2","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-22","2021","03","22","","17.8","","-2.5","","7.7","","10.3","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-23","2021","03","23","","19.0","","1.0","","10.0","","8.0","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-24","2021","03","24","","15.6","","2.1","","8.9","","9.1","","0.0","","2.2","","0.0","","2.2","","0","T","","","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-25","2021","03","25","","21.0","","7.0","","14.0","","4.0","","0.0","","2.4","","0.0","","2.4","","","","24","","56",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-26","2021","03","26","","11.4","","2.3","","6.9","","11.1","","0.0","","22.8","","0.0","","22.8","","","","4","","55",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-27","2021","03","27","","4.9","","1.1","","3.0","","15.0","","0.0","","0.0","T","0.0","","0.0","T","","","24","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-28","2021","03","28","","10.2","","1.9","","6.1","","11.9","","0.0","","8.6","","0.0","","8.6","","","","14","","67",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-29","2021","03","29","","4.2","","-2.0","","1.1","","16.9","","0.0","","0.4","","0.0","T","0.4","","","","29","","73",""
